feature,weight,feature_desc,odds_ratio,model,cutoff
5772,0.4592427030491255,Cyst and pseudocyst of pancreas,1.5828748247132078,lr,270
1749,0.38444443220888413,"Malignant neoplasm of breast (female), unspecified",1.468798077819117,lr,270
25000,0.34724265410718774,"Diabetes mellitus without mention of complication, type II or unspecified type, not stated as uncontrolled",1.4151600781160498,lr,270
4011,0.31557659318845693,Benign essential hypertension,1.371049620963902,lr,270
5779,0.2855838614402731,Unspecified disease of pancreas,1.3305386515926203,lr,270
1539,0.27148230641227195,"Malignant neoplasm of colon, unspecified site",1.3119076592978687,lr,270
4439,0.2664705601795031,"Peripheral vascular disease, unspecified",1.3053491595247162,lr,270
70219,0.2635594570309148,Other seborrheic keratosis,1.3015546792179011,lr,270
4010,0.2522432862223312,Malignant essential hypertension,1.2869090864531487,lr,270
5778,0.24386076134470766,Other specified diseases of pancreas,1.2761666263931142,lr,270
5762,0.23497370612283766,Obstruction of bile duct,1.26487550981436,lr,270
V0481,0.23003396915419713,Need for prophylactic vaccination and inoculation against influenza,1.2586427642334472,lr,270
2720,0.21987161222485851,Pure hypercholesterolemia,1.2459167598376493,lr,270
7993,0.21255157397857086,"Debility, unspecified",1.236829900159173,lr,270
3051,0.20852384422714407,Tobacco use disorder,1.231858302419932,lr,270
V1005,0.20639189770281305,Personal history of malignant neoplasm of large intestine,1.2292348439239085,lr,270
5771,0.20194738268708987,Chronic pancreatitis,1.2237836142118927,lr,270
4019,0.20154314783625063,Unspecified essential hypertension,1.22328901819835,lr,270
5789,0.20016898280074683,"Hemorrhage of gastrointestinal tract, unspecified",1.221609171658758,lr,270
4241,0.20011964475630425,Aortic valve disorders,1.2215489013379774,lr,270
78650,0.19463449026607282,"Chest pain, unspecified",1.2148668596657033,lr,270
25002,0.19440383456624064,"Diabetes mellitus without mention of complication, type II or unspecified type, uncontrolled",1.2145866760142046,lr,270
72670,0.1902965752765163,"Enthesopathy of ankle and tarsus, unspecified",1.2096082843772313,lr,270
7810,0.1865032423450381,Abnormal involuntary movements,1.2050285291976346,lr,270
5768,0.1819596856263161,Other specified disorders of biliary tract,1.1995658331598023,lr,270
4279,0.18172429757125944,"Cardiac dysrhythmia, unspecified",1.199283502921309,lr,270
7020,0.1758949523449113,Actinic keratosis,1.1923128024078222,lr,270
78609,0.16970846100741047,Other respiratory abnormalities,1.1849593391056887,lr,270
V672,0.1657225984194931,"Follow-up examination, following chemotherapy",1.1802456542982704,lr,270
78702,0.16461411935403106,Nausea alone,1.1789381015296991,lr,270
7802,0.16414504691607695,Syncope and collapse,1.1783852238401977,lr,270
49390,0.16228461578058595,"Asthma, unspecified type, unspecified",1.176194957331913,lr,270
5761,0.1584835030224221,Cholangitis,1.1717325940194245,lr,270
1733,0.15829813832020134,Other and unspecified malignant neoplasm of skin of other and unspecified parts of face,1.1715154162852166,lr,270
1978,0.15644705191714026,Secondary malignant neoplasm of other digestive organs and spleen,1.169348845900295,lr,270
79319,0.15464087026755216,Other nonspecific abnormal finding of lung field,1.1672386957038048,lr,270
2449,0.15038578198053093,Unspecified acquired hypothyroidism,1.1622825439111906,lr,270
42731,0.14169630862565927,Atrial fibrillation,1.152226674095377,lr,270
5920,0.14067298130971864,Calculus of kidney,1.1510481721650723,lr,270
61171,0.13756397526988245,Mastodynia,1.1474751136539885,lr,270
2724,0.13692582999460046,Other and unspecified hyperlipidemia,1.1467430914248118,lr,270
5770,0.1369013281526094,Acute pancreatitis,1.1467149944509964,lr,270
78902,0.13540292228913414,"Abdominal pain, left upper quadrant",1.1449980366506396,lr,270
5715,0.13425734433406009,Cirrhosis of liver without mention of alcohol,1.1436871031728626,lr,270
5758,0.13297234925856782,Other specified disorders of gallbladder,1.1422184147081968,lr,270
7038,0.131914977924295,Other specified diseases of nail,1.1410113039936052,lr,270
7030,0.13150105651196767,Ingrowing nail,1.140539112714957,lr,270
57511,0.1310687514558658,Chronic cholecystitis,1.140046158450836,lr,270
2859,0.12645115663370132,"Anemia, unspecified",1.1347940226623023,lr,270
1569,0.12521341440211628,"Malignant neoplasm of biliary tract, part unspecified site",1.1333903090733062,lr,270
2765,0.12504297277709558,Volume depletion,1.133197148649001,lr,270
70901,0.12338195778472458,Vitiligo,1.1313164535595512,lr,270
6824,0.121629876509783,"Cellulitis and abscess of hand, except fingers and thumb",1.1293360306228315,lr,270
1962,0.11966548487455085,Secondary and unspecified malignant neoplasm of intra-abdominal lymph nodes,1.1271197499052494,lr,270
K862,0.11778854331500753,Cyst of pancreas,1.1250061961330151,lr,270
7248,0.11730675843251423,Other symptoms referable to back,1.1244643157003889,lr,270
