feature,weight,feature_desc,odds_ratio,model,cutoff
5772,0.4258049048855281,Cyst and pseudocyst of pancreas,1.5308220900872964,lr,180
1749,0.3636440897937636,"Malignant neoplasm of breast (female), unspecified",1.438562124092142,lr,180
5779,0.3542996596234462,Unspecified disease of pancreas,1.425182192057542,lr,180
5778,0.3353611552798219,Other specified diseases of pancreas,1.3984453499533172,lr,180
5762,0.30492158109255213,Obstruction of bile duct,1.3565186221268626,lr,180
4011,0.3017754234027663,Benign essential hypertension,1.3522575072170593,lr,180
25000,0.29956653607642364,"Diabetes mellitus without mention of complication, type II or unspecified type, not stated as uncontrolled",1.3492738192758185,lr,180
4010,0.2876045717044057,Malignant essential hypertension,1.33323000300764,lr,180
1539,0.2867058930456471,"Malignant neoplasm of colon, unspecified site",1.33203239586931,lr,180
25002,0.2795092622862716,"Diabetes mellitus without mention of complication, type II or unspecified type, uncontrolled",1.3224806619326848,lr,180
70219,0.24667777007740507,Other seborrheic keratosis,1.2797666672165713,lr,180
4439,0.24604073189363596,"Peripheral vascular disease, unspecified",1.2789516666040561,lr,180
5768,0.23398441313206703,Other specified disorders of biliary tract,1.2636247961014642,lr,180
V0481,0.22490277282777266,Need for prophylactic vaccination and inoculation against influenza,1.2522009623144414,lr,180
V1005,0.21536965939475886,Personal history of malignant neoplasm of large intestine,1.2403203082872847,lr,180
78650,0.21474566964484007,"Chest pain, unspecified",1.2395466025456277,lr,180
2720,0.20924391455300384,Pure hypercholesterolemia,1.2327456464658861,lr,180
5771,0.2050909428091107,Chronic pancreatitis,1.2276367046171741,lr,180
7020,0.20391030018195103,Actinic keratosis,1.226188159668257,lr,180
5789,0.1977166399965799,"Hemorrhage of gastrointestinal tract, unspecified",1.2186170375659462,lr,180
7993,0.19587701622223802,"Debility, unspecified",1.2163773014593626,lr,180
3051,0.19042439283490079,Tobacco use disorder,1.2097629034360469,lr,180
79319,0.18474077905818745,Other nonspecific abnormal finding of lung field,1.2029065811323767,lr,180
72670,0.18206890497655123,"Enthesopathy of ankle and tarsus, unspecified",1.1996968561156551,lr,180
4279,0.1797978179600291,"Cardiac dysrhythmia, unspecified",1.1969753317410692,lr,180
1978,0.17863508496275798,Secondary malignant neoplasm of other digestive organs and spleen,1.1955843778366437,lr,180
4019,0.17782916182349837,Unspecified essential hypertension,1.1946212168905865,lr,180
4241,0.17503637962520488,Aortic valve disorders,1.1912895544915483,lr,180
D490,0.170874850404233,Neoplasm of unspecified behavior of digestive system,1.1863422694753618,lr,180
1569,0.169379277292489,"Malignant neoplasm of biliary tract, part unspecified site",1.1845693339836003,lr,180
V672,0.169060534817489,"Follow-up examination, following chemotherapy",1.1841918215900908,lr,180
K862,0.166826857981514,Cyst of pancreas,1.1815496717018976,lr,180
1733,0.16594774837378778,Other and unspecified malignant neoplasm of skin of other and unspecified parts of face,1.18051141647044,lr,180
7821,0.16192138315600954,Rash and other nonspecific skin eruption,1.1757678025335236,lr,180
42731,0.16098236879589828,Atrial fibrillation,1.1746642578860111,lr,180
7810,0.16040384299440352,Abnormal involuntary movements,1.1739848808422533,lr,180
78702,0.15897093143847105,Nausea alone,1.1723038689982788,lr,180
5770,0.15309710088463319,Acute pancreatitis,1.165438138522937,lr,180
2859,0.14846920337633698,"Anemia, unspecified",1.1600570713832488,lr,180
2449,0.1457490743334537,Unspecified acquired hypothyroidism,1.1569058542536088,lr,180
49390,0.1451540677812454,"Asthma, unspecified type, unspecified",1.1562176924407364,lr,180
2724,0.1383772974786479,Other and unspecified hyperlipidemia,1.148408760274228,lr,180
5761,0.13749696288344918,Cholangitis,1.1473982211846525,lr,180
78900,0.1361518441714421,"Abdominal pain, unspecified site",1.145855871921194,lr,180
7802,0.13171544658359288,Syncope and collapse,1.1407836591902547,lr,180
5853,0.1311802574899323,"Chronic kidney disease, Stage III (moderate)",1.1401732875643174,lr,180
7030,0.13112473677282227,Ingrowing nail,1.1401099860830504,lr,180
